55;718;208;3;0;15
29;419;67;3;1;0
29;240;127;3;2;0
30;664;132;3;3;0
29;700;59;3;4;0
30;212;366;3;5;0
30;224;179;3;6;0
31;431;441;3;7;10
30;543;49;3;8;0
32;521;381;3;9;0
31;864;429;3;10;0
32;976;110;3;11;0
32;628;97;3;12;0
32;810;225;3;13;0
33;44;629;3;14;0
35;411;79;3;15;0
34;531;302;3;16;0
35;691;6;3;17;0
35;705;609;3;18;0
35;109;10;3;19;0
33;256;805;3;20;0
35;968;184;3;21;0
37;208;560;5;22;4
36;355;128;3;23;0
36;627;171;3;24;0
37;342;551;3;25;0
38;360;576;3;26;0
38;550;23;3;27;2
38;602;888;3;28;0
39;410;124;3;29;11
38;765;182;3;30;0
39;817;87;3;31;0
41;471;89;3;32;0
42;964;171;3;33;0
42;432;656;3;34;0
43;887;325;3;35;0
44;457;92;3;36;0
46;376;389;3;37;0
47;838;143;7;38;8
