26;309;134;3;0;0
26;809;190;3;1;8
28;192;151;3;2;0
29;397;13;4;3;0
27;730;151;3;4;15
27;929;57;3;5;0
29;191;159;4;6;0
28;239;223;3;7;0
34;393;39;3;8;0
31;386;38;3;9;0
28;956;75;3;10;0
29;496;763;3;11;6
30;849;138;3;12;8
31;275;335;3;13;5
31;408;391;3;14;0
33;170;486;3;15;0
32;968;206;3;16;0
34;29;635;3;17;0
34;101;502;3;18;0
34;334;40;3;19;0
34;698;803;3;20;31
35;689;96;3;21;0
36;541;533;3;22;0
36;794;483;3;23;0
37;238;502;3;24;0
37;611;97;3;25;13
39;709;256;5;26;32
40;828;81;3;27;0
42;798;12;3;28;7
42;865;218;3;29;0
49;528;322;3;30;0
61;492;447;3;31;0
