29;224;212;4;0;0
29;744;148;5;1;15
29;49;359;4;2;0
30;95;164;3;3;0
29;373;421;3;4;10
31;31;508;3;5;0
31;551;483;7;6;37
30;737;267;4;7;0
32;266;350;5;8;5
32;304;251;4;9;5
31;346;133;3;10;0
31;613;99;6;11;13
31;739;168;3;12;15
31;835;282;3;13;0
35;137;104;3;14;3
33;138;104;3;15;3
32;950;337;3;16;30
33;174;507;3;17;0
33;465;765;3;18;0
39;539;432;4;19;37
33;662;121;3;20;0
34;66;167;3;21;0
34;446;855;4;22;0
35;722;256;4;23;0
34;756;42;3;24;7
35;142;677;3;25;0
35;770;397;3;26;26
35;942;278;3;27;0
35;954;446;4;28;0
36;358;12;3;29;0
36;902;637;3;30;0
37;652;356;4;31;0
36;800;105;3;32;0
39;284;722;3;33;0
40;437;595;4;34;0
39;472;122;3;35;0
39;629;176;3;36;0
39;661;464;3;37;37
38;732;259;3;38;0
41;133;132;4;39;0
39;349;217;3;40;0
41;763;245;3;41;0
40;922;20;3;42;16
43;936;112;4;43;8
44;263;595;5;44;0
45;826;205;3;45;8
44;918;933;3;46;44
44;961;877;3;47;0
46;452;438;3;48;0
46;706;306;3;49;32
46;780;114;3;50;0
48;12;730;3;51;0
48;826;133;3;52;8
49;868;551;3;53;27
51;380;180;5;54;11
51;621;93;4;55;0
54;622;24;3;56;14
64;707;282;4;57;0
