25;613;40;3;0;14
26;149;36;4;1;3
25;488;13;3;2;2
26;775;62;5;3;7
26;425;164;3;4;11
27;600;36;5;5;14
28;387;355;4;6;0
30;723;873;4;7;38
30;8;224;3;8;0
31;256;129;3;9;0
31;268;101;3;10;0
30;494;515;3;11;20
32;55;232;3;12;0
31;792;412;3;13;34
31;807;437;3;14;34
31;840;217;3;15;0
31;932;187;3;16;0
32;126;109;3;17;3
33;312;103;4;18;0
32;849;442;3;19;0
33;262;603;3;20;4
33;276;388;3;21;0
34;816;95;3;22;8
35;829;614;3;23;21
35;831;543;3;24;0
34;977;49;3;25;0
36;317;233;4;26;5
36;368;121;3;27;0
36;375;28;3;28;0
36;698;902;3;29;38
36;872;352;3;30;0
37;435;668;3;31;0
37;909;466;3;32;27
39;743;93;3;33;0
38;807;489;3;34;0
41;143;132;3;35;0
40;146;837;3;36;23
41;556;744;4;37;6
40;653;662;3;38;29
42;865;44;4;39;16
43;684;37;3;40;0
44;633;485;3;41;37
45;713;22;3;42;7
45;847;536;3;43;0
46;674;376;3;44;0
52;782;90;3;45;0
51;799;76;3;46;0
53;666;371;3;47;0
52;990;571;17;48;0
57;397;738;3;49;18
57;398;220;3;50;11
62;490;319;3;51;19
